confidence,comments,style,texts,p_id,feedback,consent,style_score,style_label,confidence_score,confidence_label
"{'numeric': 2, 'label': 'Somewhat Confident. You made a judgment but still felt uncertain or had significant doubts', 'full': '2: Somewhat Confident. You made a judgment but still felt uncertain or had significant doubts'}",Facts are given,"{'numeric': 4, 'label': 'Somewhat Masculine'}","The dog was ready to go. A man walks past a parade. He sees a woman on a float dressed as a sea monster. Next, a group of men holding huge rocket launchers marched past. A few floats later, a woman dressed as a mermaid went by. Last, he was greeted by a performer dressed as a transformer who went through the crowd",65654bb65a81489784483bf0,,I agree,4.0,Somewhat Masculine,2.0,Somewhat Confident. You made a judgment but still felt uncertain or had significant doubts
"{'numeric': 2, 'label': 'Somewhat Confident. You made a judgment but still felt uncertain or had significant doubts', 'full': '2: Somewhat Confident. You made a judgment but still felt uncertain or had significant doubts'}",No dist,"{'numeric': 4, 'label': 'Somewhat Masculine'}",Our family is making desserts. We have many different types. My cousin is here helping out too. My daughter thinks they're really tasty. The whole family enjoys them.,65654bb65a81489784483bf0,,I agree,4.0,Somewhat Masculine,2.0,Somewhat Confident. You made a judgment but still felt uncertain or had significant doubts
"{'numeric': 2, 'label': 'Somewhat Confident. You made a judgment but still felt uncertain or had significant doubts', 'full': '2: Somewhat Confident. You made a judgment but still felt uncertain or had significant doubts'}",Facts are given,"{'numeric': 4, 'label': 'Somewhat Masculine'}","The woman was wearing a hairstyle that made her look like a baby chick. A lightbulb on the singer's costume was out, Another singer was a scanitly dressed girl clad in gold. As she sang she liked to stand closer to the audience. One guy snuck up on stage and walked close behind her.",65654bb65a81489784483bf0,,I agree,4.0,Somewhat Masculine,2.0,Somewhat Confident. You made a judgment but still felt uncertain or had significant doubts
,,,This hotel better be worth it. I know I cant affor this place. That dress cost as much as a small car. The dinner was fanc. I'm going to steal some of the teas before I leave.,65654bb65a81489784483bf0,,I agree,,,,
"{'numeric': 2, 'label': 'Somewhat Confident. You made a judgment but still felt uncertain or had significant doubts', 'full': '2: Somewhat Confident. You made a judgment but still felt uncertain or had significant doubts'}",Maybe the worrying about costs is emotional?,,Lets sit down before the show starts. They went all out this year. I wonder how much it cost this year. These are some quality fireworks. My camera must of run out of film since there is no picture here.,65654bb65a81489784483bf0,,I agree,,,2.0,Somewhat Confident. You made a judgment but still felt uncertain or had significant doubts
,,,We gathered at the convention center The guys were excited for the event We heard an interesting discussion The featured speaker sent a positive message They proudly received their certiifcates,65654bb65a81489784483bf0,,I agree,,,,
"{'numeric': 2, 'label': 'Somewhat Confident. You made a judgment but still felt uncertain or had significant doubts', 'full': '2: Somewhat Confident. You made a judgment but still felt uncertain or had significant doubts'}",Facts stated,"{'numeric': 4, 'label': 'Somewhat Masculine'}",Today was graduation day. All of the kids were smiling. The principal spoke and it was boring. Then the smartest student spoke and it was more boring. After graduation everyone went to a party.,65654bb65a81489784483bf0,,I agree,4.0,Somewhat Masculine,2.0,Somewhat Confident. You made a judgment but still felt uncertain or had significant doubts
,,,The charity event drew a happy crowd. The first speaker talked about the importance of happiness. The next speaker gave testimony of the joy of liffe. The grand total of giving was in the checks donated to local schools. This wonderful organization leaves happy faces.,65654bb65a81489784483bf0,,I agree,,,,
"{'numeric': 2, 'label': 'Somewhat Confident. You made a judgment but still felt uncertain or had significant doubts', 'full': '2: Somewhat Confident. You made a judgment but still felt uncertain or had significant doubts'}",Somewhat emotional ,"{'numeric': 2, 'label': 'Somewhat Feminine'}","This week the location of the organization meeting was changed. It was dry, taking and reading stuff. The supervisors were stupid and I say stuff because I didn't give a lick of attention to the speakers during that meeting. They gave out participatory certificates that were not pretty rad. Pictures were snapped, but I quickly snuck out the back once my time was completed.",65654bb65a81489784483bf0,,I agree,2.0,Somewhat Feminine,2.0,Somewhat Confident. You made a judgment but still felt uncertain or had significant doubts
"{'numeric': 4, 'label': 'Very Confident. You were very certain about your judgment with no hesitation', 'full': '4: Very Confident. You were very certain about your judgment with no hesitation'}",,"{'numeric': 2, 'label': 'Somewhat Feminine'}",This is an attention check. Please select 'Somewhat Feminine (2)' and '4: Very Confident. You were very certain about your judgment with no hesitation',65654bb65a81489784483bf0,,I agree,2.0,Somewhat Feminine,4.0,Very Confident. You were very certain about your judgment with no hesitation
"{'numeric': 3, 'label': 'Moderately Confident. You felt reasonably sure of your judgment but had some doubts', 'full': '3: Moderately Confident. You felt reasonably sure of your judgment but had some doubts'}",Emotional ,,It really snowe last night. I hope my ducks aren't cold. My sheep are just chillin. My tractor wont start today. I need to get more propane soon.,65654bb65a81489784483bf0,,I agree,,,3.0,Moderately Confident. You felt reasonably sure of your judgment but had some doubts
,,,The rock formation was very pretty. A man takes a picture of the pretty rock formation. The man is really interesting in the color contrast in the rock. The rock formation had patches of greenery. The rock formation was by the sea.,65654bb65a81489784483bf0,,I agree,,,,
"{'numeric': 2, 'label': 'Somewhat Confident. You made a judgment but still felt uncertain or had significant doubts', 'full': '2: Somewhat Confident. You made a judgment but still felt uncertain or had significant doubts'}",Facts given ,"{'numeric': 4, 'label': 'Somewhat Masculine'}","Two sisters had a great time on vacation.  First, they climbed up some very large rocks. Then they went to the beach and were playing in the sand. Their father and little sister joined them as they were digging in a tidepool to see what they could find. Their father showed them a little crab that was hiding in one of the tidepools. The crab carries his home on his back. One of the girls drew a picture in the sand of what she would look like if she carried her house on her back.",65654bb65a81489784483bf0,,I agree,4.0,Somewhat Masculine,2.0,Somewhat Confident. You made a judgment but still felt uncertain or had significant doubts
"{'numeric': 2, 'label': 'Somewhat Confident. You made a judgment but still felt uncertain or had significant doubts', 'full': '2: Somewhat Confident. You made a judgment but still felt uncertain or had significant doubts'}",Facts,"{'numeric': 4, 'label': 'Somewhat Masculine'}",The art museum had exhibits made of wires. There were also exhibits made of plastic. Farther in there were paintings of landscapes. There were also flowers and oil paintings in the museum. Some of the paintings mimicked the flowers in real life.,65654bb65a81489784483bf0,,I agree,4.0,Somewhat Masculine,2.0,Somewhat Confident. You made a judgment but still felt uncertain or had significant doubts
,,,I got dinner on the go for tonight. So I sat to have a tea adn relax. I checked the cooker to make sure it was set to slow cook. Then I got ready for my class. Off to taekwondo I go!!,65654bb65a81489784483bf0,,I agree,,,,
"{'numeric': 2, 'label': 'Somewhat Confident. You made a judgment but still felt uncertain or had significant doubts', 'full': '2: Somewhat Confident. You made a judgment but still felt uncertain or had significant doubts'}",,"{'numeric': 3, 'label': 'Neutral'}","For millions of years, our planet gave birth to different gemstones and crystals which our civilization found ways to make use of them. As an example, stone therapy was a person for the strategies most people found the advantages of such minerals to our entire body. They believe that the energies that transformed these minerals are stored in these stones and they believe that they can harness them for therapeutic.make a wish necklaceThousands of gemstones are being transformed and sold as wearable crystal energy. This is because some people believe in alternative forms of healing.",65654bb65a81489784483bf0,,I agree,3.0,Neutral,2.0,Somewhat Confident. You made a judgment but still felt uncertain or had significant doubts
"{'numeric': 2, 'label': 'Somewhat Confident. You made a judgment but still felt uncertain or had significant doubts', 'full': '2: Somewhat Confident. You made a judgment but still felt uncertain or had significant doubts'}",,"{'numeric': 3, 'label': 'Neutral'}","You can have to most expensive and highest quality tools for doing anything, but if you are not competent with using them then your results will be substandard.There are so many varied and highly unique methods to be found with online business, such as immo 94 for example. Another very good point is the huge variation in results that can be observed across the board with a lot of methods.It does not matter about others who perform poorly, you need to pay attention to your self and how you perform.",65654bb65a81489784483bf0,,I agree,3.0,Neutral,2.0,Somewhat Confident. You made a judgment but still felt uncertain or had significant doubts
"{'numeric': 2, 'label': 'Somewhat Confident. You made a judgment but still felt uncertain or had significant doubts', 'full': '2: Somewhat Confident. You made a judgment but still felt uncertain or had significant doubts'}",Emotional ,,hi guys im egyption amaricen i live in the state for 30 years but i do like to travell a lot and i do like to make friends from all over the world im very simple person i do like watch t.v nice moves i do like going to cinma eat out going to the beack i love the country side to nice and quite away from the city very pieace,65654bb65a81489784483bf0,,I agree,,,2.0,Somewhat Confident. You made a judgment but still felt uncertain or had significant doubts
,,,This is an attention check. Please select 'Neutral (3)' and '2: Somewhat Confident. You made a judgment but still felt uncertain or had significant doubts',65654bb65a81489784483bf0,,I agree,,,,
"{'numeric': 3, 'label': 'Moderately Confident. You felt reasonably sure of your judgment but had some doubts', 'full': '3: Moderately Confident. You felt reasonably sure of your judgment but had some doubts'}",Emotional ,"{'numeric': 1, 'label': 'Very Feminine'}","I had a wonderful day on Sunday, everyone made the day so so nice and then we went for a meal
",65654bb65a81489784483bf0,,I agree,1.0,Very Feminine,3.0,Moderately Confident. You felt reasonably sure of your judgment but had some doubts
,,,"You are not what others say you are because you are way ahead of them.If they say you are a failure then you are a winner because you are the head and not the tail.If they say you are poor,then tell them you are rich for Christ supplies all your needs according to his riches in glory.If they say you are sick,tell them by the stripes of Jesus Christ you are healed.If they say you are not wise,tell them the fear of the Lord is the beginning of wisdom. If they say you are a nobody,tell them you are the apple of the Lord's eye,a holy nation,a royal priesthood.",65654bb65a81489784483bf0,,I agree,,,,
